1,Sunday,WY,PH,queue
1,Monday,LA,AC,
1,Tuesday,GFA,LL,
1,Wednesday,SK,PG,
1,Thursday,RH,CM,
1,Friday,ACu,KG,beyond
1,Saturday,AG,HS,
2,Sunday,KP,SK,queue
2,Monday,AC,APiz,
2,Tuesday,PG,WJG,
2,Wednesday,DG,IM,
2,Thursday,LZag,LZal,
2,Friday,APic,JN,beyond
2,Saturday,SW,RG,
3,Sunday,CJ,LZag,queue
3,Monday,MC,APic,
3,Tuesday,JH,LA,
3,Wednesday,AW,DG,
3,Thursday,JS,KP,
3,Friday,CC,SW,beyond
3,Saturday,HS,RH,
4,Sunday,KG,MC,queue
4,Monday,MH,CC,
4,Tuesday,JSt,AW,
4,Wednesday,ZS,SS,
4,Thursday,JN,ACu,
4,Friday,SN,JH,beyond
4,Saturday,VK,GD,
5,Sunday,APiz,JS,queue
5,Monday,WJG,MH,
5,Tuesday,OC,JSt,
5,Wednesday,AM,ZS,
5,Thursday,CM,CJ,
5,Friday,IM,WY,beyond
5,Saturday,GD,GFA,
6,Sunday,RG,AM,
6,Monday,PH,OC,
6,Tuesday,LL,VK,
6,Wednesday,LZal,AG,
6,Thursday,SS,SN,
